アンデルセン／川崎芳隆訳;1089;817;65593;37053;1814;447;146.74;35.69;2.26;142826;6832.90;9264.86;12528.95;77.20;74.40;75.83;75.57
アンデルセン／矢崎源九郎訳;1075;775;40719;24212;1505;325;125.29;26.76;1.45;88371;5209.00;7106.75;10085.50;77.55;78.47;77.84;77.91
アンデルセン／神西清訳;2049;1723;304230;185576;9483;1951;155.94;31.96;11.16;653343;4643.40;6313.52;9277.40;74.96;76.76;77.00;76.31
アンブラー／田村隆一訳;1717;1397;181015;103299;7002;2149;84.23;25.78;6.28;399119;5304.99;7198.93;10193.66;75.36;74.83;75.06;74.75
アーヴィング／吉田甲子太郎訳;2022;1611;130564;77271;3056;604;216.17;42.62;4.81;279507;8002.50;10398.29;13887.25;74.48;74.38;76.03;75.04
イエイツ編／井村君江（編訳）;1852;1516;163126;94316;4506;1432;113.91;35.26;5.75;351461;5584.62;7562.62;11269.88;74.73;77.47;77.31;75.99
イエイツ／井村君江訳;1588;1253;91454;57158;2450;395;231.53;37.11;3.39;198749;4486.82;6057.43;8741.42;72.74;75.17;75.31;73.49
イソップ／亀山龍樹訳;850;656;79784;45128;2897;1608;49.62;27.37;2.66;175170;5581.85;7436.33;10610.55;82.17;78.54;81.00;80.15
イネス／大門一男訳;1559;1288;194776;114423;8987;2259;86.22;21.43;6.76;427742;5118.43;7387.86;10658.43;76.19;78.54;77.97;78.15
イネス／池央耿訳;2353;2009;573690;344150;27241;7756;73.97;21.00;20.67;1249950;5518.74;7398.76;10372.87;73.29;74.48;73.85;74.37
イネス／皆藤幸蔵訳;1519;1263;194832;113693;8025;2111;92.29;24.24;6.86;431654;5313.15;7298.11;10048.95;74.91;76.20;75.83;75.63
イプセン／林穣二訳;1378;1039;90432;49102;3942;1502;60.21;22.26;3.02;203946;3399.60;4795.34;7731.80;74.84;72.62;73.47;73.97
ヴァーツヤーヤナ／大場正史訳;1645;1290;103849;61178;2611;1469;70.69;39.07;3.91;221441;7906.40;10655.41;15125.70;68.51;67.00;69.47;69.04
ヴィドック／三宅一郎訳;2533;2147;650032;389444;20684;5955;109.16;31.32;23.88;1416277;8045.97;10698.01;14917.75;68.43;69.77;69.50;68.10
ヴィンジ;2185;1938;707812;402252;26700;7864;90.01;26.38;24.99;1523851;6912.74;8947.51;12205.17;69.03;68.64;68.46;69.21
ヴェブレン／高哲夫訳;1631;1370;270824;164990;4510;599;452.13;59.67;10.95;574821;7803.43;9580.39;12780.50;57.32;60.39;60.39;58.37
ヴェルヌ／土井寛之・荒川浩充訳;1663;1374;197989;110513;6280;2005;98.75;29.59;6.59;417134;5174.50;7131.06;10453.28;70.94;72.59;72.09;71.09
ヴェルヌ／大久保和郎訳;2712;2368;697617;402902;22743;7652;91.17;30.42;24.79;1489620;7235.62;9374.18;13203.62;69.32;70.50;70.90;71.22
