kagerou;2938;2598;792047;489011;26550;19906;39.79;29.79;30.67;1761494;8426.90;11310.26;15944.21;65.88;62.74;66.29;63.38
kajiri 18;2798;2488;846474;512648;45515;27063;31.28;18.29;32.35;1899540;7673.58;10054.90;13970.30;66.50;65.65;67.00;67.06
kajiri akebono;2861;2565;1027163;624653;53302;31694;32.41;19.00;39.37;2293097;7411.94;9880.73;13790.73;66.44;65.44;66.72;66.65
kamikaze explorer;2244;1981;1066809;604325;76446;44103;24.19;13.72;37.80;2571862;3510.22;4821.47;7104.64;80.18;79.40;80.38;79.76
kamimaho;2159;1945;870689;524213;52471;42813;20.34;16.53;32.85;2014648;3422.40;4648.41;6708.72;80.53;78.84;79.12;79.61
kanojo no seiiki;1294;1056;158859;92009;11349;7970;19.93;13.92;5.71;381072;2392.23;3243.93;4745.27;86.97;86.94;86.44;86.78
katahane;1865;1659;569480;332630;40062;28103;20.26;14.19;20.09;1385255;3440.08;4887.07;7330.26;80.62;80.60;80.60;79.68
kaziklu;2068;1726;209725;122771;10189;6061;34.60;20.33;7.66;462813;6177.00;8206.88;11068.17;75.91;77.35;77.70;77.04
kikaijikake no eve;2566;2361;1531763;898559;85737;43525;35.19;17.68;56.49;3541220;6339.68;8320.25;11444.91;67.22;69.84;70.46;69.19
kimikoe;2222;1981;722740;420545;57012;43427;16.64;12.55;26.39;1739034;4131.44;5669.68;8411.55;84.25;83.75;83.85;84.12
kirakira;2281;1986;1064565;631370;50511;34586;30.78;20.98;38.92;2380568;3663.04;5063.24;7536.61;80.83;80.99;81.26;79.59
koichoco;1991;1760;756457;434318;56921;39071;19.36;13.19;27.31;1855570;4004.70;5567.27;8166.71;82.20;81.76;82.29;81.64
leyline1;1596;1323;324310;194743;23200;17452;18.58;13.87;11.93;778333;2083.73;2816.15;4084.04;86.83;87.62;87.37;87.05
leyline2;1748;1473;421338;252367;27251;20727;20.33;15.34;15.44;996191;2363.62;3276.50;4715.89;86.16;85.79;85.60;84.95
leyline3;1661;1441;376493;224473;25497;18358;20.51;14.66;13.83;893636;2616.58;3454.97;5012.77;86.09;85.89;85.81;85.12
magical charming;2118;1803;645324;365851;55385;36516;17.67;11.54;22.92;1589846;3076.84;4501.36;6923.74;84.29;84.67;84.61;85.40
majokoi;1970;1709;547341;320953;45995;35060;15.61;11.84;19.68;1347720;3043.70;4387.83;6548.27;87.35;89.20;88.66;89.51
mamiyakun-chi;1945;1723;945532;538033;62698;38082;24.83;14.82;34.24;2231160;2953.46;3886.52;5594.03;84.09;83.36;83.96;83.43
monobeno;2421;2186;2011868;1112344;172390;90236;22.30;11.55;72.02;4887951;4894.33;6677.16;9740.10;87.07;89.26;88.84;89.46
muramasa;3070;2793;1189809;734933;89355;78135;15.23;13.24;46.82;2790559;9833.49;12580.78;17094.95;64.35;63.13;59.23;61.61
nanarin;1851;1589;447450;249239;42533;26282;17.02;10.22;15.83;1122490;2916.19;4005.63;5825.71;84.20;86.65;87.23;87.86
nanatsuiro;1543;1312;453855;269699;36028;26947;16.84;12.51;16.50;1095590;1715.74;2385.16;3644.99;87.99;88.77;88.64;88.99
natsukumo yururu;2004;1768;750409;442961;53449;31376;23.92;13.93;26.78;1766298;3131.58;4401.96;6645.56;85.64;85.55;85.09;85.42
nine kokoiro;1536;1236;142515;82198;12729;9035;15.77;11.15;5.18;355520;3443.96;4611.48;6541.80;81.85;81.12;81.94;82.92
noratoto;2050;1783;651917;367290;57781;40372;16.15;11.17;22.74;1611264;3688.68;5132.89;7918.85;85.23;85.60;84.05;84.52
nursery rhyme;2046;1779;655804;377828;41431;31423;20.87;15.72;23.50;1529245;3184.56;4458.73;6532.36;83.14;82.82;82.88;82.34
oniikiss;1951;1681;627490;356693;50762;29170;21.51;12.26;22.34;1549471;2526.20;3511.09;5133.98;90.56;92.46;90.95;89.74
oniikiss fd;1449;1176;245920;138855;19471;14206;17.31;12.48;8.56;597564;2374.13;3258.86;4802.32;89.08;91.20;87.84;86.94
oretsuba;2770;2482;1596292;911520;89710;52522;30.39;17.58;56.59;3616658;6943.48;9352.95;13162.66;76.97;78.28;78.75;77.33
oretsuba afterstory;2131;1827;412904;232540;26122;16054;25.72;15.58;14.56;955772;5372.25;7310.58;10417.12;80.14;79.98;80.17;78.79
oretsuba prelude;2171;1798;269924;150890;15150;8671;31.13;17.53;9.41;611915;8083.95;10729.74;14619.72;67.82;69.89;71.43;70.02
ouka sabaki;2145;1914;674913;411106;54008;31873;21.18;12.42;25.43;1680317;3606.50;5181.50;7849.50;76.08;78.64;79.34;80.26
parfait;2113;1834;567028;327105;48972;33091;17.14;11.49;20.52;1402932;3982.45;5486.98;8108.40;82.91;83.17;83.99;84.11
prawfclwyd;2018;1766;474599;271160;34908;24396;19.45;13.52;17.17;1171815;4112.70;5710.21;8452.89;85.59;85.87;86.50;84.88
primary by skyfish;2024;1778;831422;474158;67737;35497;23.42;12.05;29.24;2076479;2977.73;4221.52;6725.20;81.44;80.66;81.34;81.62
princessfrontier;2342;2096;789097;453081;61397;46855;16.84;12.72;27.99;1887534;5257.59;7384.78;10864.27;82.21;81.02;81.61;81.58
rabuobu;2169;1904;625204;357904;53398;33008;18.94;11.57;22.10;1503986;5157.83;7143.38;10470.75;82.66;81.38;81.50;82.71
rewrite+;2646;2409;1575954;930667;114939;98133;16.06;13.61;58.14;3708167;6692.84;8758.10;12088.27;76.98;75.19;75.00;76.20
rinshin;2210;1950;715377;415286;45936;27074;26.42;15.48;25.88;1679160;5301.70;7280.01;10192.35;80.99;80.44;80.94;79.87
satsukoi;1882;1587;285162;169911;24064;22372;12.75;11.77;10.52;700304;3582.75;4947.58;7063.62;85.16;84.05;84.35;85.42
senmomo;2513;2235;806430;492352;53978;47589;16.95;14.88;31.45;1894262;5555.97;7714.71;11041.24;66.78;65.83;64.96;65.85
senrenbanka;2222;1918;1068052;619622;79277;53777;19.86;13.36;38.39;2577729;2605.11;3671.96;5604.45;86.44;86.52;86.32;86.11
sensinkan bansenzin;2644;2376;856646;516408;42693;25801;33.20;19.96;32.45;1905606;5452.83;7328.02;10434.75;76.54;75.07;74.63;73.84
