n0955el;(´・ω・`)最強勇者はお払い箱→魔王になったらずっと俺の無双ターン;41;2174;1920;406918;240252;21351;13576;29.97;18.98;15.11;907642;5799.43;7496.06;10022.15;78.68;78.40;78.66;78.72
n1039br;ヤンデレ系乙女ゲーの世界に転生してしまったようです;279;1826;1526;198184;119467;8277;4762;41.62;23.87;7.35;433209;4983.10;6839.65;9486.27;81.14;80.88;80.79;80.86
n1094bz;精霊幻想記（Ｗｅｂ版）;105;2477;2237;1459443;876025;63664;45141;32.33;22.85;53.93;3208592;4765.81;6191.19;8430.47;78.06;78.69;78.91;78.43
n1143cv;リアル世界にダンジョンが出来た（Web版）;x;1873;1610;541100;330888;26197;21736;24.89;20.46;19.50;1192428;2706.97;3813.38;5556.52;83.09;84.54;83.66;83.19
n1217et;信者ゼロの女神サマと始める異世界攻略　クラスメイト最弱の魔法使い;234;2085;1798;584872;343606;39405;31425;18.61;14.71;21.28;1356842;3940.28;5184.93;7421.30;78.14;77.41;77.50;78.05
n1222ci;黒の召喚士　～戦闘狂の成り上がり～;79;2615;2443;1788372;1054182;85381;37700;47.44;20.59;64.91;3984164;5849.58;7502.89;10360.11;75.65;75.15;75.52;75.71
n1247p;リアデイルの大地にて;165;2432;2155;552555;325189;20560;11655;47.41;26.44;20.19;1205952;6359.74;8417.94;11474.67;73.83;73.64;73.78;73.42
n1321ez;実は俺、最強でした？ ～転生直後はどん底スタート、でも万能魔法で逆転人生を上昇中！～;271;1926;1648;229247;135057;13123;7915;28.96;17.34;8.43;512889;5647.77;7314.36;10028.04;78.97;78.41;78.85;79.02
n1337cn;公爵令嬢の嗜み;25;2234;1960;567767;349910;28592;16268;34.90;19.77;21.40;1272462;4184.24;5755.61;8270.67;80.57;79.89;80.16;80.51
n1383bo;こちら討伐クエスト斡旋窓口;212;1767;1483;236246;143406;11513;8621;27.40;20.46;8.70;523692;3567.35;4691.60;6883.67;78.49;78.41;78.54;78.61
n1388cd;救わなきゃダメですか？　異世界;x;2400;2194;1355159;806767;55312;37873;35.78;24.38;50.88;2933051;5103.39;6490.05;9151.10;75.40;75.59;75.48;75.48
n1406cr;駆除人;102;2439;2221;1507618;917377;79084;48809;30.89;18.93;54.70;3363346;4677.87;6507.31;9764.95;80.31;80.19;80.11;80.38
n1435ev;世界の闇と戦う秘密結社が無いから作った（半ギレ）;254;2362;2116;452783;269640;19061;8870;51.05;23.46;17.26;976278;8390.90;10881.92;14426.61;70.13;71.20;70.17;70.20
n1443bp;異世界はスマートフォンとともに。;47;2779;2574;2346308;1382267;117732;56959;41.19;19.78;84.88;5204821;5874.28;7853.01;11206.65;78.42;78.02;78.29;78.44
n1474fh;一億年ボタンを連打した俺は、気付いたら最強になっていた～落第剣士の学院無双～;18;2175;1919;586266;347109;37923;24536;23.89;15.34;21.90;1369757;5602.27;7268.83;10072.21;77.66;77.61;78.07;77.84
n1576cu;人狼への転生、魔王の副官;32;2499;2294;1327668;789771;64932;47170;28.15;20.36;49.46;2927938;6313.68;8160.61;11333.19;76.55;75.94;76.13;76.41
n1578dx;魔王学院の不適合者　～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～;68;2495;2346;2334102;1343239;125046;88895;26.26;18.46;85.17;5320194;6552.23;8564.36;12061.56;78.17;77.98;78.18;78.39
n1583dj;剣士を目指して入学したのに魔法適性9999なんですけど！？;188;2115;1888;760105;438021;41519;28392;26.77;18.21;27.13;1696425;4418.05;5909.06;8154.13;77.31;77.09;77.35;77.34
n1592db;最強呪族転生～チート魔術師のスローライフ～;118;2438;2259;1267981;753464;55432;39492;32.11;22.69;46.38;2809913;5091.34;6693.01;9147.45;78.75;78.63;78.79;78.72
n1618ck;打算あり善行冒険者;x;2046;1797;446038;268311;15620;11954;37.31;28.40;16.26;957512;3926.05;5365.98;7672.60;78.18;78.13;78.05;77.34
n1619dr;クラスが異世界召喚されたなか俺だけ残ったんですが;139;1974;1774;610687;378686;32594;26083;23.41;18.65;22.93;1368911;3047.06;4174.62;6128.09;80.85;81.38;81.78;81.63
n1624fi;貴族転生～恵まれた生まれから最強の力を得る;31;1977;1672;275152;167349;16154;13116;20.98;16.86;10.24;623878;5260.17;7228.88;10220.80;80.32;79.50;79.67;80.05
n1701bm;異世界食堂;21;2220;1941;634674;374130;26140;19888;31.91;24.15;23.32;1388290;5793.62;7589.84;10645.74;81.09;81.36;81.31;80.95
n1745ct;四度目は嫌な死属性魔術師;203;2817;2640;4009282;2360619;142961;90146;44.48;27.75;148.10;8777582;5880.62;7761.62;10742.20;70.27;70.83;70.87;70.48
n1753cz;そのガーゴイルは地上でも危険です　～翼を失くした最強ガーゴイルの放浪記～;x;2090;1864;641510;381298;35733;28847;22.24;17.88;23.38;1444505;3764.91;5001.96;6999.48;79.10;78.56;78.79;79.14
n1782t;Re：Monster――刺殺から始まる怪物転生記――;x;2024;1726;164361;98031;4897;3851;42.68;33.29;6.32;355742;7310.30;9454.04;12349.27;67.84;70.38;68.48;67.98
n1784ee;神統記(テオゴニア);205;2425;2100;485026;295068;15103;9746;49.77;31.92;18.25;1049372;7773.31;10413.63;14389.80;78.07;80.61;81.02;79.91
n1785ek;ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで;86;2166;1931;507520;302230;36709;30026;16.90;13.64;18.77;1168010;5525.83;7226.94;9930.25;78.82;78.77;78.40;78.97
n1793ei;転生賢者の異世界ライフ　～第二の職業を得て、世界最強になりました～;28;1458;1240;236018;141461;12324;9342;25.26;18.94;8.55;536081;2770.93;3694.19;4999.84;79.09;78.85;79.08;79.16
n1839bd;オーバーロード：後編;97;2005;1739;361118;212956;15797;8500;42.48;22.69;13.31;784163;3601.24;4956.05;7086.82;79.38;79.24;79.12;79.20
n1850ew;役立たずスキルに人生を注ぎ込み25年、今さら最強の冒険譚;261;2237;2015;615441;364730;25677;21325;28.86;23.81;23.03;1346858;6199.96;8165.40;11376.33;77.92;79.93;80.10;79.19
n1854cj;グリモワール×リバース～転生鬼神浪漫譚～;201;2597;2395;1350397;774858;68505;44038;30.66;19.55;48.72;3021148;6284.11;8253.40;11362.40;79.03;78.84;79.02;79.10
n1898i;ウォルテニア戦記【Web投稿版】;87;2487;2236;843356;521793;38232;27001;31.23;21.91;32.67;1830148;5274.96;6846.27;9430.95;74.16;74.44;73.21;73.75
n1930bw;ゲート・オブ・アミティリシア・オンライン;221;2393;2176;1011680;606586;50927;24602;41.12;19.52;36.61;2221847;5034.96;6618.98;9300.88;78.91;78.44;78.65;78.93
n1976ey;俺は星間国家の悪徳領主！;163;1788;1573;330494;200039;18576;13656;24.20;17.68;12.31;737510;4708.64;5993.08;8520.52;76.99;76.19;76.35;76.79
n1980bm;破壊の御子;252;2728;2511;1800769;1073817;62238;39892;45.14;28.79;66.55;3911922;7020.43;9120.11;12477.71;79.46;79.82;79.97;78.98
n1980en;領民0人スタートの辺境領主様;233;1962;1717;337792;204850;11263;7797;43.32;29.84;12.48;731892;3897.73;5188.60;7498.60;80.81;80.92;80.86;80.27
n1996ed;精霊達の楽園と理想の異世界生活;192;2281;2077;1684913;1000873;79331;33409;50.43;21.12;61.36;3693058;4171.96;5435.73;7940.34;78.97;79.32;79.17;79.11
n2027ci;神殺しの英雄と七つの誓約（旧題：彼は英雄ではないと言い張るようです）;175;2413;2183;1146236;694051;59523;34361;33.36;19.23;43.14;2555157;3231.69;4485.77;6487.58;81.35;80.63;80.43;80.82
n2031cu;異世界転移で女神様から祝福を！　～いえ、手持ちの異能があるので結構です～;23;2464;2283;2038046;1217150;95609;60699;33.58;20.86;74.02;4514960;4569.09;6274.38;9189.66;76.00;75.25;75.48;75.92
n2133ej;おっさん竜師、第二の人生;273;1976;1700;305448;178389;18400;13303;22.96;16.44;10.89;693992;4870.68;6524.55;9369.61;80.85;81.43;80.66;80.86
